cust_id,lookalikes
C0001,"[('C0069', 0.9926792355564207), ('C0018', 0.9905392026676514), ('C0112', 0.9893302425418788)]"
C0002,"[('C0189', 0.9994738527939935), ('C0103', 0.9990240375643729), ('C0134', 0.9982364971464192)]"
C0003,"[('C0005', 0.9949259154318374), ('C0166', 0.9948030399450298), ('C0197', 0.9945493895912741)]"
C0004,"[('C0086', 0.9982683706787342), ('C0075', 0.9966086017001479), ('C0055', 0.9952090106680217)]"
C0005,"[('C0085', 0.997272860876509), ('C0163', 0.9966488622415993), ('C0003', 0.9949259154318374)]"
C0006,"[('C0187', 0.9964879670369242), ('C0135', 0.9915226710257861), ('C0167', 0.9906969084693458)]"
C0007,"[('C0163', 0.9991228802505134), ('C0085', 0.9966718061810546), ('C0005', 0.992728054737986)]"
C0008,"[('C0109', 0.9946466127976754), ('C0024', 0.992307079571326), ('C0116', 0.9856293013770951)]"
C0009,"[('C0094', 0.9994050945754982), ('C0032', 0.9954248076141647), ('C0019', 0.994027450837907)]"
C0010,"[('C0029', 0.9960666418000154), ('C0142', 0.9926835320487922), ('C0111', 0.9913500859841884)]"
C0011,"[('C0013', 0.9991334566205861), ('C0165', 0.998988335320789), ('C0107', 0.9983636126856509)]"
C0012,"[('C0152', 0.9998006451208566), ('C0059', 0.993848110410342), ('C0199', 0.9915114758787752)]"
C0013,"[('C0011', 0.9991334566205861), ('C0107', 0.9980271531243563), ('C0126', 0.9967404887235783)]"
C0014,"[('C0151', 0.9994412383799535), ('C0110', 0.9986868089430451), ('C0080', 0.9985998440608265)]"
C0015,"[('C0133', 0.9986868712176785), ('C0136', 0.9972713835160402), ('C0178', 0.9936468446114929)]"
C0016,"[('C0092', 0.9995938032266792), ('C0155', 0.9994799363841382), ('C0056', 0.9957126857126358)]"
C0017,"[('C0194', 0.9980835545912039), ('C0177', 0.9946907176422997), ('C0179', 0.9943928717021784)]"
C0018,"[('C0051', 0.9922048519257006), ('C0001', 0.9905392026676514), ('C0023', 0.9885420149445959)]"
C0019,"[('C0049', 0.9963589528812318), ('C0009', 0.994027450837907), ('C0032', 0.9934055448806411)]"
C0020,"[('C0130', 0.9998880899310697), ('C0140', 0.9777773698551031), ('C0066', 0.9754836861430427)]"
